case_id,name,tariff_type,has_solar,control_type,control_load,household_size
10,"diverter with C1","CL",True,"diverter",1,4
11,"diverter with flat","flat",True,"diverter",10,4
0,"CL1 Ausgrid","CL",False,"CL",1,4
1,"GS flat","flat",False,"GS",0,4
2,"GS tou","tou",False,"GS",0,4
3,"timer flat","flat",False,"timer",4,4
4,"timer tou","tou",False,"timer",4,4
5,"CL1 with solar","CL",True,"CL",1,4
6,"GS flat w solar","flat",True,"GS",0,4
7,"GS tou w solar","tou",True,"GS",0,4
8,"timer flat w solar","flat",True,"timer",4,4
9,"timer tou w solar","tou",True,"timer",4,4
